iter	Passed	Remaining
0	157	47054
1	171	25562
2	183	18185
3	195	14488
4	207	12266
5	221	10832
6	233	9767
7	246	8989
8	259	8383
9	272	7906
10	284	7480
11	297	7128
12	309	6839
13	322	6578
14	337	6409
15	348	6184
16	362	6027
17	374	5870
18	386	5720
19	399	5593
20	410	5459
21	425	5376
22	438	5280
23	451	5186
24	464	5110
25	477	5031
26	489	4952
27	502	4881
28	517	4839
29	528	4752
30	540	4693
31	553	4637
32	565	4578
33	578	4527
34	589	4464
35	603	4427
36	615	4376
37	628	4334
38	640	4289
39	656	4265
40	669	4227
41	681	4183
42	693	4147
43	705	4105
44	719	4078
45	730	4035
46	744	4005
47	756	3969
48	768	3935
49	781	3905
50	792	3866
51	805	3843
52	818	3815
53	831	3786
54	843	3757
55	856	3730
56	869	3707
57	882	3681
58	897	3666
59	908	3634
60	923	3619
61	937	3599
62	950	3577
63	965	3559
64	983	3557
65	997	3536
66	1011	3517
67	1023	3493
68	1038	3475
69	1054	3464
70	1070	3453
71	1084	3432
72	1097	3413
73	1113	3401
74	1127	3383
75	1140	3361
76	1153	3339
77	1164	3313
78	1176	3291
79	1188	3267
80	1202	3251
81	1217	3236
82	1231	3220
83	1245	3203
84	1259	3185
85	1272	3165
86	1285	3148
87	1299	3130
88	1312	3111
89	1325	3092
90	1338	3073
91	1350	3052
92	1363	3034
93	1375	3013
94	1388	2996
95	1400	2976
96	1414	2959
97	1426	2941
98	1439	2922
99	1454	2908
100	1467	2891
101	1481	2876
102	1497	2864
103	1511	2849
104	1524	2831
105	1537	2814
106	1550	2796
107	1565	2782
108	1581	2771
109	1594	2754
110	1607	2736
111	1620	2719
112	1633	2702
113	1646	2686
114	1659	2669
115	1672	2653
116	1688	2640
117	1702	2625
118	1717	2612
119	1731	2597
120	1745	2582
121	1758	2566
122	1770	2548
123	1783	2531
124	1797	2516
125	1809	2498
126	1821	2480
127	1833	2463
128	1847	2448
129	1860	2432
130	1875	2419
131	1886	2401
132	1899	2384
133	1911	2367
134	1922	2350
135	1937	2336
136	1952	2322
137	1966	2308
138	1981	2295
139	1998	2283
140	2011	2267
141	2027	2255
142	2041	2241
143	2054	2226
144	2075	2219
145	2090	2205
146	2104	2189
147	2115	2173
148	2131	2159
149	2143	2143
150	2155	2127
151	2168	2111
152	2180	2095
153	2192	2078
154	2205	2062
155	2218	2047
156	2231	2032
157	2245	2017
158	2257	2001
159	2270	1986
160	2283	1971
161	2296	1955
162	2308	1940
163	2321	1924
164	2333	1909
165	2346	1894
166	2359	1878
167	2371	1863
168	2384	1848
169	2397	1833
170	2410	1818
171	2422	1802
172	2434	1787
173	2446	1771
174	2459	1756
175	2472	1741
176	2484	1726
177	2496	1711
178	2509	1696
179	2522	1681
180	2534	1666
181	2546	1651
182	2559	1636
183	2572	1621
184	2585	1607
185	2598	1592
186	2611	1578
187	2624	1563
188	2637	1548
189	2648	1533
190	2661	1518
191	2673	1503
192	2686	1489
193	2699	1474
194	2711	1460
195	2724	1445
196	2736	1430
197	2749	1416
198	2763	1402
199	2775	1387
200	2788	1373
201	2801	1359
202	2813	1344
203	2826	1330
204	2838	1315
205	2850	1300
206	2863	1286
207	2875	1271
208	2887	1257
209	2900	1242
210	2913	1228
211	2926	1214
212	2939	1200
213	2952	1186
214	2965	1172
215	2978	1158
216	2991	1144
217	3004	1130
218	3017	1116
219	3030	1101
220	3043	1087
221	3056	1073
222	3068	1059
223	3078	1044
224	3091	1030
225	3103	1016
226	3118	1002
227	3130	988
228	3142	974
229	3156	960
230	3169	946
231	3181	932
232	3193	918
233	3207	904
234	3220	890
235	3233	876
236	3248	863
237	3262	849
238	3277	836
239	3290	822
240	3303	808
241	3315	794
242	3327	780
243	3341	766
244	3354	752
245	3367	739
246	3380	725
247	3393	711
248	3405	697
249	3418	683
250	3431	669
251	3444	656
252	3459	642
253	3472	628
254	3487	615
255	3500	601
256	3512	587
257	3525	573
258	3537	560
259	3551	546
260	3565	532
261	3580	519
262	3594	505
263	3609	492
264	3623	478
265	3636	464
266	3650	451
267	3663	437
268	3680	424
269	3693	410
270	3707	396
271	3721	383
272	3735	369
273	3751	355
274	3765	342
275	3778	328
276	3793	314
277	3807	301
278	3822	287
279	3838	274
280	3853	260
281	3867	246
282	3880	233
283	3894	219
284	3908	205
285	3926	192
286	3941	178
287	3954	164
288	3971	151
289	3984	137
290	3996	123
291	4010	109
292	4026	96
293	4039	82
294	4052	68
295	4065	54
296	4080	41
297	4093	27
298	4105	13
299	4118	0
